                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.73213,                0.40082,                0.93316,                0.97742,                0.96422,                0.98436,                0.83045,                0.64274,                 0.2992,                0.93842,              0.0079457,              0.0079457,              0.0079457
                     86,                0.73306,                0.39876,                0.93112,                0.97646,                  0.964,                 0.9841,                0.83113,                0.64094,                0.29805,                0.93923,               0.007921,               0.007921,               0.007921
                     87,                0.73025,                0.39778,                0.93052,                0.97752,                0.96474,                0.98434,                 0.8311,                0.63988,                0.29815,                 0.9391,              0.0078963,              0.0078963,              0.0078963
                     88,                 0.7283,                0.39762,                0.93113,                0.97758,                0.96396,                0.98393,                 0.8318,                0.63798,                0.29694,                0.93917,              0.0078715,              0.0078715,              0.0078715
                     89,                0.72953,                0.39687,                0.93127,                0.97818,                0.96342,                0.98376,                0.83348,                0.63639,                 0.2972,                0.93907,              0.0078467,              0.0078467,              0.0078467
                     90,                0.72526,                0.39741,                0.92733,                0.97826,                0.96431,                0.98384,                0.83337,                0.63679,                0.29699,                0.93959,               0.007822,               0.007822,               0.007822
                     91,                0.73407,                0.39883,                0.93095,                0.97906,                0.96365,                0.98405,                0.83291,                 0.6368,                  0.297,                0.93946,              0.0077973,              0.0077973,              0.0077973
                     92,                0.72424,                0.39378,                0.92867,                0.97859,                0.96419,                0.98405,                 0.8345,                0.63485,                0.29665,                0.93915,              0.0077725,              0.0077725,              0.0077725
                     93,                0.72474,                0.39363,                0.92928,                0.97847,                0.96448,                0.98404,                 0.8346,                0.63315,                0.29572,                0.93889,              0.0077478,              0.0077478,              0.0077478
                     94,                0.72625,                0.39473,                0.92677,                0.97886,                0.96449,                0.98417,                0.83473,                0.63237,                0.29589,                0.93876,               0.007723,               0.007723,               0.007723
                     95,                0.72242,                0.39432,                0.92678,                0.97806,                0.96462,                0.98449,                0.83491,                0.63264,                0.29581,                0.93923,              0.0076983,              0.0076983,              0.0076983
                     96,                 0.7233,                0.39288,                0.92806,                0.97871,                0.96409,                0.98465,                0.83422,                0.63251,                0.29539,                0.93874,              0.0076735,              0.0076735,              0.0076735
                     97,                0.72694,                0.39705,                0.93075,                0.97928,                0.96379,                0.98461,                0.83388,                0.63223,                0.29526,                 0.9385,              0.0076488,              0.0076488,              0.0076488
                     98,                0.72355,                0.39431,                0.92988,                0.97845,                0.96439,                0.98457,                0.83464,                0.63139,                0.29483,                0.93778,               0.007624,               0.007624,               0.007624
                     99,                0.71815,                 0.3898,                0.92588,                0.97818,                0.96473,                0.98457,                 0.8349,                 0.6303,                0.29438,                 0.9375,              0.0075993,              0.0075993,              0.0075993
                    100,                0.72012,                0.38945,                 0.9265,                0.97817,                0.96488,                0.98472,                0.83477,                0.62959,                0.29479,                0.93745,              0.0075745,              0.0075745,              0.0075745
                    101,                0.72312,                0.39353,                0.92894,                0.97866,                  0.965,                0.98483,                 0.8346,                0.62882,                0.29445,                0.93677,              0.0075498,              0.0075498,              0.0075498
                    102,                0.71743,                0.38866,                0.92585,                0.97817,                 0.9644,                0.98451,                0.83502,                0.62812,                0.29416,                0.93632,               0.007525,               0.007525,               0.007525
                    103,                 0.7185,                0.38938,                0.92671,                0.97851,                0.96516,                0.98487,                0.83517,                0.62713,                0.29375,                0.93593,              0.0075003,              0.0075003,              0.0075003
                    104,                0.71675,                0.38901,                0.92715,                0.97856,                0.96513,                0.98466,                0.83589,                0.62679,                0.29301,                0.93596,              0.0074755,              0.0074755,              0.0074755
                    105,                0.71177,                0.38626,                0.92586,                0.97811,                0.96579,                0.98498,                0.83623,                0.62621,                0.29286,                 0.9359,              0.0074507,              0.0074507,              0.0074507
                    106,                0.71515,                 0.3859,                0.92457,                 0.9783,                 0.9656,                0.98493,                0.83662,                 0.6261,                 0.2925,                0.93591,               0.007426,               0.007426,               0.007426
                    107,                 0.7133,                0.38585,                0.92492,                0.97795,                0.96538,                0.98448,                 0.8372,                0.62562,                0.29223,                0.93569,              0.0074013,              0.0074013,              0.0074013
                    108,                0.71569,                0.38978,                0.92673,                0.97831,                0.96495,                0.98461,                0.83696,                0.62556,                0.29215,                0.93591,              0.0073765,              0.0073765,              0.0073765
                    109,                0.71375,                0.38843,                0.92563,                0.97856,                0.96525,                0.98483,                0.83705,                0.62535,                0.29192,                0.93614,              0.0073517,              0.0073517,              0.0073517
                    110,                0.70585,                 0.3846,                0.92389,                0.97932,                0.96606,                0.98495,                0.83736,                0.62501,                 0.2919,                0.93624,               0.007327,               0.007327,               0.007327
                    111,                0.70941,                0.38378,                 0.9227,                0.97951,                0.96561,                0.98482,                0.83699,                0.62485,                0.29156,                0.93625,              0.0073023,              0.0073023,              0.0073023
                    112,                 0.7129,                0.38669,                 0.9236,                0.97963,                0.96608,                0.98488,                0.83744,                0.62454,                0.29129,                0.93624,              0.0072775,              0.0072775,              0.0072775
                    113,                0.70769,                0.38242,                0.92384,                0.97956,                0.96581,                0.98499,                0.83741,                0.62408,                0.29114,                0.93614,              0.0072527,              0.0072527,              0.0072527
                    114,                0.70997,                0.38562,                0.92173,                0.97928,                0.96583,                0.98501,                 0.8376,                0.62401,                0.29129,                0.93647,               0.007228,               0.007228,               0.007228
                    115,                0.70741,                0.38237,                0.92175,                0.97962,                0.96585,                0.98501,                0.83805,                0.62387,                0.29112,                0.93631,              0.0072033,              0.0072033,              0.0072033
                    116,                0.70459,                0.38366,                0.92241,                0.97961,                0.96588,                0.98497,                0.83799,                0.62358,                 0.2909,                 0.9361,              0.0071785,              0.0071785,              0.0071785
                    117,                0.70444,                0.38229,                0.92298,                0.97912,                0.96584,                0.98477,                0.83813,                0.62322,                0.29074,                0.93595,              0.0071538,              0.0071538,              0.0071538
                    118,                0.69927,                0.37635,                0.91901,                0.97893,                0.96639,                0.98481,                0.83858,                0.62317,                0.29033,                0.93602,               0.007129,               0.007129,               0.007129
                    119,                0.69784,                0.37814,                0.91944,                0.97931,                0.96618,                0.98503,                0.83889,                0.62255,                0.29004,                0.93587,              0.0071042,              0.0071042,              0.0071042
                    120,                0.70629,                0.38378,                0.92427,                0.97936,                0.96618,                0.98497,                0.83935,                0.62226,                0.28967,                0.93566,              0.0070795,              0.0070795,              0.0070795
                    121,                0.70229,                0.37829,                0.92003,                0.97904,                0.96621,                0.98498,                0.83902,                  0.622,                0.28959,                0.93565,              0.0070547,              0.0070547,              0.0070547
                    122,                0.70394,                0.37994,                0.91966,                0.97895,                0.96593,                 0.9848,                0.83942,                0.62166,                 0.2894,                0.93551,                0.00703,                0.00703,                0.00703
                    123,                0.69909,                  0.379,                0.91869,                0.97921,                0.96618,                0.98499,                0.83928,                0.62141,                0.28907,                0.93531,              0.0070053,              0.0070053,              0.0070053
                    124,                0.69949,                0.37649,                0.92083,                0.97884,                0.96642,                0.98487,                0.83928,                  0.621,                  0.289,                  0.935,              0.0069805,              0.0069805,              0.0069805
                    125,                 0.6928,                0.37625,                0.91566,                0.97914,                0.96636,                0.98493,                0.83928,                0.62114,                0.28895,                0.93511,              0.0069558,              0.0069558,              0.0069558
                    126,                0.69897,                0.37763,                0.92025,                 0.9793,                0.96622,                0.98497,                0.83959,                  0.621,                0.28875,                0.93518,               0.006931,               0.006931,               0.006931
                    127,                0.69547,                0.37762,                0.92001,                0.97913,                0.96618,                0.98496,                0.83945,                  0.621,                0.28868,                0.93526,              0.0069063,              0.0069063,              0.0069063
